Plane,Thermocouple,Exp (T*),CHT (T*)
Ai,T1,0.972192049,0.982339956
,T3,0.969147889,0.982339956
,T4,0.965031523,0.982339956
,T5,0.965983731,0.982339956
,T6,0.965980696,0.982339956
,T7,0.968323553,0.982339956
Bi,T8,0.974231371,0.986754967
,T9,0.972520645,0.986754967
,T10,0.968651979,0.986754967
,T11,0.962034399,0.984547461
,T12,0.96644181,0.986754967
,T13,0.964621922,0.986754967
,T14,0.968485693,0.984547461
Ci,T15,0.971026968,0.986754967
,T16,0.971676792,0.988962472
,T17,0.971076637,0.988962472
,T18,0.960888762,0.986754967
,T19,0.970074657,0.988962472
,T20,0.970825539,0.986754967
,T21,0.971830442,0.984547461
Di,T22,0.936625753,0.924944812
,T23,0.956198821,0.953642384
,T24,0.960539685,0.969094923
,T25,0.96441708,0.977924945
,T26,0.951696181,0.975717439
,T27,0.962788538,0.975717439
,T28,0.94870913,0.964679912
,T29,0.94016799,0.949227373
,T30,0.915400288,0.918322296
Ei,T31,0.944672624,0.913907285
,T32,0.930379502,0.913907285
,T33,0.939359341,0.927152318
